,Markowitz (Unconstrained),Markowitz 30% cap,Markowitz 20% cap,Sector 40% cap,Target Return 15%,Risk Parity,Black-Litterman,BL + 30% cap
ASIANPAINT.NS,2.6107778282721607e-11,1.296747123726689e-11,5.486136838566129e-11,1.178698546850485e-10,3.866287663259336e-07,0.07012741476458965,6.266644183994195e-11,8.109992676268011e-11
AXISBANK.NS,1.2475503617646223e-10,6.626265030190574e-11,3.256029231080204e-10,6.916734840029959e-10,8.935007086480298e-07,0.05669795096472431,0.09330875479353679,0.29999999994304405
BHARTIARTL.NS,0.721439039457002,0.29999999993447857,0.199999999932929,0.39999999983976436,0.31307255552279706,0.07202751187676071,5.885684994855187e-11,6.834930966964006e-11
HDFCBANK.NS,3.097584885612325e-11,1.3362408452801527e-11,5.6611908823857364e-11,1.2324993828525382e-10,1.3849218403706582e-07,0.06543963262957667,1.5792490256730035e-10,5.172660488122528e-10
HINDUNILVR.NS,2.7274991565167892e-11,1.7415306255453886e-11,6.79410016542392e-11,1.600476265670931e-10,0.13509327695242113,0.0894768078825493,4.4067343724830176e-11,3.206882006341368e-11
ICICIBANK.NS,2.954598312183658e-10,0.09760232823809156,0.19049733646144662,0.04782292990660896,0.18676750749291193,0.06919695482269937,1.1232568635314975e-10,1.8046707740181954e-10
INFY.NS,3.342975473610068e-11,1.7111939212216247e-11,7.241595593425072e-11,1.776620537743906e-10,0.031636543773992255,0.06555598075738653,4.8981699710626806e-11,3.015680458262431e-11
ITC.NS,1.6881527427992287e-11,1.0232016485666348e-11,4.7328057763101557e-11,8.596913547540103e-11,2.730287489113495e-07,0.08123589603755678,4.935739099407903e-11,4.36191744344821e-11
KOTAKBANK.NS,3.790724954358442e-11,1.7138385908727603e-11,7.391639805394238e-11,1.8218250933132733e-10,1.7099908664206895e-07,0.06236978038851087,2.391309283979999e-10,0.09999999857604257
LT.NS,0.05214479850487063,0.17291634384693014,0.19999999935623666,0.1448586321034235,0.032165723724185497,0.04919908061775029,0.8360851174132654,0.29999999985040726
MARUTI.NS,3.075896743877261e-10,0.04459381698688605,0.08152876544449245,0.02268640372370339,0.08736699211849355,0.0634394378671478,1.0919054624527247e-10,1.9743850755724143e-10
RELIANCE.NS,4.349573606256827e-11,1.8992480803646924e-11,9.339754030665621e-11,1.9000093583940582e-10,4.3011104683617146e-07,0.06088764806773726,1.4081494334216328e-10,4.4141423757996963e-10
SBIN.NS,0.22641616075735949,0.2999999999610118,0.19999999976903443,0.3287127571518977,0.11922872645832745,0.05645523962936061,0.07060612665283227,0.2999999999044043
TCS.NS,1.6140008609354932e-11,9.448619907054032e-12,4.505449738774427e-11,8.628976037332137e-11,2.9123321312654725e-07,0.07245208454186004,4.365189525596538e-11,3.2074167551954733e-11
TITAN.NS,3.207503963627548e-10,0.0848875108496708,0.1279738981987312,0.05591927545965685,0.09466608996311672,0.06543857915178995,7.339683008475474e-11,1.0214752687733733e-10
